# Generated from Nono Tuning Tool
# Version 3.2.0
# NTT: Name - Harman
# NTT: Definition v2 - FAD8AQAoAPwBADIA-AEAPwDyAQBQAOABAGQAyAEAfgCwAQCgAJoBAMgAjgEA-gCKAQA8AYYBAJABhAEA9AGCAQB2AoIBACADfgEA6AN8AQCwBHoBAEAGdgEA0Ad0AQDECXIBABwMbgEAoA9qAQCIE2gBAJwYZAEAQB9gAQAQJ1wBAOAuVgEAgD5QAQAgTkoBAA 
12 5.4
39.303 5.4
40.051 5.399
40.812 5.382
41.588 5.365
42.378 5.348
43.184 5.331
44.005 5.314
44.841 5.298
45.694 5.281
46.563 5.264
47.448 5.247
48.35 5.23
49.269 5.213
50.205 5.195
51.16 5.17
52.132 5.146
53.124 5.121
54.133 5.097
55.162 5.072
56.211 5.048
57.28 5.024
58.369 4.999
59.478 4.975
60.609 4.95
61.761 4.926
62.935 4.901
64.132 4.833
65.351 4.762
66.593 4.691
67.859 4.62
69.149 4.549
70.464 4.478
71.803 4.407
73.168 4.336
74.559 4.265
75.976 4.194
77.421 4.123
78.893 4.053
80.392 3.974
81.921 3.872
83.478 3.771
85.065 3.67
86.682 3.569
88.33 3.467
90.009 3.366
91.72 3.265
93.464 3.164
95.241 3.062
97.051 2.961
98.896 2.86
100.776 2.76
102.692 2.662
104.644 2.564
106.633 2.467
108.66 2.369
110.726 2.271
112.831 2.173
114.976 2.075
117.162 1.978
119.389 1.88
121.659 1.782
123.971 1.684
126.328 1.588
128.73 1.501
131.177 1.415
133.671 1.328
136.212 1.241
138.801 1.154
141.44 1.068
144.128 0.981
146.868 0.894
149.66 0.808
152.505 0.721
155.405 0.634
158.359 0.547
161.369 0.477
164.437 0.426
167.563 0.376
170.748 0.325
173.994 0.275
177.302 0.224
180.673 0.173
184.107 0.123
187.607 0.072
191.174 0.021
194.808 -0.029
198.511 -0.08
202.285 -0.11
206.131 -0.127
210.049 -0.144
214.042 -0.161
218.111 -0.178
222.258 -0.195
226.483 -0.211
230.788 -0.228
235.176 -0.245
239.646 -0.262
244.202 -0.279
248.844 -0.296
253.575 -0.312
258.395 -0.328
263.308 -0.344
268.313 -0.36
273.414 -0.376
278.612 -0.393
283.908 -0.409
289.305 -0.425
294.805 -0.441
300.409 -0.457
306.12 -0.473
311.94 -0.489
317.87 -0.503
323.912 -0.51
330.07 -0.518
336.345 -0.526
342.739 -0.534
349.254 -0.542
355.894 -0.55
362.659 -0.558
369.554 -0.566
376.579 -0.574
383.738 -0.582
391.033 -0.59
398.466 -0.598
406.041 -0.607
413.76 -0.615
421.626 -0.624
429.641 -0.632
437.809 -0.64
446.131 -0.649
454.613 -0.657
463.255 -0.666
472.061 -0.674
481.035 -0.683
490.18 -0.691
499.498 -0.7
626.148 -0.7
638.051 -0.711
650.18 -0.726
662.54 -0.742
675.135 -0.758
687.97 -0.774
701.048 -0.789
714.376 -0.805
727.956 -0.821
741.795 -0.837
755.896 -0.853
770.266 -0.868
784.909 -0.884
799.83 -0.9
815.035 -0.908
830.529 -0.917
846.318 -0.925
862.407 -0.934
878.801 -0.942
895.507 -0.951
912.531 -0.959
929.879 -0.967
947.556 -0.976
965.569 -0.984
983.925 -0.993
1002.63 -1.001
1021.69 -1.012
1041.112 -1.022
1060.904 -1.032
1081.072 -1.043
1101.624 -1.053
1122.566 -1.063
1143.906 -1.074
1165.652 -1.084
1187.811 -1.094
1210.392 -1.106
1233.402 -1.119
1256.849 -1.132
1280.742 -1.145
1305.089 -1.158
1329.899 -1.171
1355.181 -1.185
1380.943 -1.198
1407.195 -1.211
1433.946 -1.224
1461.206 -1.237
1488.984 -1.25
1517.29 -1.263
1546.134 -1.276
