band_hz,m0_2026<BR>40942,m1_2026<BR>41037,m2_2026<BR>41143,m3_2026<BR>41251,m4_2026<BR>41416
16,43.6,48.5,50.2,44.5,45.5
20,47.1,49.2,49.7,48.3,52.8
25,50.9,53.7,51.9,53.2,54.0
31.5,43.9,49.8,48.0,45.9,50.6
40,48.2,53.7,51.2,46.7,56.3
50,34.4,50.7,57.8,48.2,56.8
63,31.5,48.0,56.3,53.3,57.7
80,34.6,54.5,59.2,48.8,58.4
100,36.0,54.1,53.8,51.1,48.4
125,35.3,48.6,61.4,52.5,46.7
160,31.7,54.0,65.1,61.4,61.4
200,30.2,56.2,53.8,54.2,49.2
250,31.6,60.8,56.3,60.3,57.2
315,31.0,55.7,53.0,51.2,51.6
400,24.3,59.7,54.9,54.5,52.2
500,22.7,55.9,50.2,52.7,56.7
630,19.2,52.0,52.4,56.5,52.3
800,18.1,50.0,60.6,57.1,56.4
1000,17.9,53.4,48.9,48.7,48.8
1250,13.9,52.6,52.1,46.0,48.3
1600,12.4,44.0,51.1,48.0,43.5
2000,13.1,47.3,49.5,49.0,46.2
2500,10.7,47.3,46.9,43.9,50.2
3150,10.0,50.1,49.9,46.9,52.7
4000,9.7,58.0,47.6,43.8,56.0
5000,8.9,64.2,49.6,50.1,63.0
6300,9.5,60.8,50.3,49.3,57.7
8000,9.4,57.5,49.7,49.8,56.5
10000,8.5,56.0,56.1,53.9,55.4
12500,9.2,55.7,44.9,45.0,55.0
16000,10.6,52.6,40.9,42.8,54.7
20000,12.1,50.2,34.7,31.7,49.3
