freq_hz,spl_db
3.6621,40.678
3.6886,40.731
3.7154,40.784
3.7423,40.837
3.7694,40.891
3.7967,40.944
3.8242,40.997
3.8520,41.051
3.8799,41.104
3.9080,41.157
3.9363,41.210
3.9648,41.264
3.9936,41.317
4.0225,41.370
4.0516,41.424
4.0810,41.477
4.1106,41.530
4.1404,41.584
4.1704,41.637
4.2006,41.690
4.2310,41.743
4.2617,41.797
4.2926,41.850
4.3237,41.903
4.3550,41.957
4.3866,42.010
4.4184,42.044
4.4504,42.071
4.4826,42.098
4.5151,42.125
4.5478,42.152
4.5808,42.179
4.6140,42.206
4.6474,42.234
4.6811,42.261
4.7150,42.288
4.7492,42.315
4.7836,42.342
4.8182,42.369
4.8532,42.397
4.8883,42.424
4.9238,42.451
4.9594,42.478
4.9954,42.505
5.0316,42.532
5.0680,42.559
5.1048,42.587
5.1417,42.647
5.1790,42.757
5.2165,42.867
5.2543,42.978
5.2924,43.088
5.3308,43.198
5.3694,43.308
5.4083,43.418
5.4475,43.529
5.4870,43.639
5.5267,43.749
5.5668,43.859
5.6071,43.969
5.6477,44.080
5.6887,44.190
5.7299,44.300
5.7714,44.410
5.8132,44.520
5.8554,44.631
5.8978,44.708
5.9405,44.783
5.9836,44.857
6.0269,44.931
6.0706,45.006
6.1146,45.080
6.1589,45.154
6.2035,45.229
6.2485,45.303
6.2938,45.378
6.3394,45.452
6.3853,45.526
6.4316,45.601
6.4782,45.675
6.5251,45.749
6.5724,45.824
6.6200,45.858
6.6680,45.864
6.7163,45.870
6.7650,45.877
6.8140,45.883
6.8634,45.889
6.9131,45.896
6.9632,45.902
7.0137,45.908
7.0645,45.915
7.1157,45.921
7.1673,45.927
7.2192,45.934
7.2715,45.940
7.3242,45.946
7.3773,46.067
7.4308,46.187
7.4846,46.308
7.5388,46.428
7.5935,46.549
7.6485,46.670
7.7039,46.790
7.7597,46.911
7.8160,47.031
7.8726,47.152
7.9297,47.272
7.9871,47.393
8.0450,47.513
8.1033,47.526
8.1620,47.510
8.2212,47.495
8.2807,47.480
8.3407,47.465
8.4012,47.450
8.4621,47.435
8.5234,47.419
8.5851,47.404
8.6474,47.389
8.7100,47.374
8.7731,47.359
8.8367,47.458
8.9007,47.596
8.9652,47.734
9.0302,47.871
9.0956,48.009
9.1615,48.147
9.2279,48.285
9.2948,48.423
9.3622,48.560
9.4300,48.698
9.4983,48.836
9.5672,48.991
9.6365,49.155
9.7063,49.319
9.7767,49.482
9.8475,49.646
9.9189,49.810
9.9907,49.974
10.0631,50.138
10.1361,50.301
10.2095,50.465
10.2835,50.428
10.3580,50.087
10.4331,49.747
10.5087,49.406
10.5848,49.066
10.6615,48.725
10.7388,48.385
10.8166,48.044
10.8950,47.704
10.9739,47.363
11.0535,47.375
11.1335,47.453
11.2142,47.530
11.2955,47.607
11.3773,47.685
11.4598,47.762
11.5428,47.840
11.6265,47.917
11.7107,47.994
11.7956,48.029
11.8811,48.059
11.9672,48.089
12.0539,48.120
12.1412,48.150
12.2292,48.180
12.3178,48.210
12.4071,48.241
12.4970,48.453
12.5875,48.842
12.6788,49.230
12.7706,49.619
12.8632,50.008
12.9564,50.397
13.0503,50.785
13.1448,51.174
13.2401,51.524
13.3360,51.846
13.4327,52.168
13.5300,52.491
13.6281,52.813
13.7268,53.136
13.8263,53.458
13.9265,53.738
14.0274,53.646
14.1290,53.554
14.2314,53.462
14.3346,53.370
14.4384,53.278
14.5431,53.186
14.6484,53.095
14.7546,52.102
14.8615,51.109
14.9692,50.116
15.0777,49.123
15.1869,48.130
15.2970,47.137
15.4078,46.349
15.5195,46.200
15.6319,46.050
15.7452,45.900
15.8593,45.751
15.9742,45.601
16.0900,45.451
16.2066,45.436
16.3240,45.454
16.4423,45.472
16.5615,45.491
16.6815,45.509
16.8024,45.527
16.9241,45.408
17.0468,45.212
17.1703,45.017
17.2947,44.821
17.4200,44.626
17.5463,44.430
17.6734,44.456
17.8015,44.556
17.9305,44.655
18.0604,44.755
18.1913,44.855
18.3231,44.987
18.4559,45.420
18.5896,45.853
18.7243,46.286
18.8600,46.719
18.9967,47.152
19.1343,47.644
19.2730,48.166
19.4126,48.687
19.5533,49.209
19.6950,49.730
19.8377,50.513
19.9815,51.634
20.1263,52.755
20.2721,53.876
20.4190,54.998
20.5670,55.057
20.7160,53.516
20.8661,51.975
21.0173,50.434
21.1696,48.893
21.3230,48.106
21.4776,47.962
21.6332,47.819
21.7900,47.676
21.9479,47.532
22.1069,47.633
22.2671,47.780
22.4285,47.927
22.5910,48.073
22.7547,48.262
22.9196,48.549
23.0857,48.835
23.2529,49.122
23.4214,49.409
23.5912,49.737
23.7621,50.069
23.9343,50.401
24.1077,50.734
24.2824,51.176
24.4584,51.679
24.6356,52.182
24.8142,52.684
24.9940,53.276
25.1751,53.952
25.3575,54.628
25.5413,55.305
25.7264,56.110
25.9128,57.048
26.1005,57.986
26.2897,58.924
26.4802,60.609
26.6721,62.810
26.8654,65.010
27.0600,67.210
27.2561,67.584
27.4536,67.495
27.6526,67.405
27.8529,67.061
28.0548,64.518
28.2581,61.976
28.4628,59.433
28.6691,57.731
28.8769,56.847
29.0861,55.963
29.2969,55.079
29.5092,54.557
29.7230,54.035
29.9384,53.513
30.1553,53.088
30.3739,52.734
30.5940,52.380
30.8157,52.005
31.0390,51.564
31.2639,51.123
31.4904,50.683
31.7186,50.566
31.9485,50.454
32.1800,50.342
32.4132,49.820
32.6480,49.194
32.8846,48.569
33.1229,48.466
33.3629,48.601
33.6047,48.736
33.8482,48.754
34.0935,48.706
34.3406,48.658
34.5894,48.505
34.8401,48.298
35.0925,48.092
35.3468,47.379
35.6029,46.495
35.8609,45.611
36.1208,46.012
36.3826,46.568
36.6462,47.073
36.9117,47.090
37.1792,47.108
37.4486,47.279
37.7200,47.730
37.9933,48.182
38.2687,49.057
38.5460,50.147
38.8253,51.260
39.1066,53.291
39.3900,55.322
39.6755,56.429
39.9630,56.341
40.2525,56.252
40.5442,56.642
40.8380,57.089
41.1340,57.302
41.4320,57.163
41.7323,57.024
42.0347,56.219
42.3393,55.377
42.6461,55.057
42.9551,55.183
43.2664,55.294
43.5799,55.330
43.8957,55.365
44.2138,54.935
44.5342,54.420
44.8569,54.382
45.1820,54.727
45.5094,55.050
45.8391,55.322
46.1713,55.579
46.5059,55.676
46.8429,55.773
47.1823,55.816
47.5242,55.853
47.8686,56.135
48.2155,56.494
48.5649,56.894
48.9168,57.317
49.2713,57.241
49.6283,56.774
49.9879,56.632
50.3502,56.804
50.7150,56.939
51.0825,57.034
51.4527,56.690
51.8255,55.896
52.2011,55.856
52.5794,56.488
52.9604,56.501
53.3442,56.088
53.7307,55.865
54.1201,55.729
54.5122,55.197
54.9073,54.564
55.3051,51.005
55.7059,47.557
56.1096,46.722
56.5162,46.577
56.9257,48.091
57.3382,49.782
57.7537,51.646
58.1722,52.485
58.5938,52.968
59.0183,53.093
59.4460,53.185
59.8768,53.190
60.3107,53.468
60.7477,53.944
61.1879,54.106
61.6313,54.331
62.0779,54.862
62.5278,55.414
62.9809,55.982
63.4372,57.678
63.8969,58.930
64.3600,59.433
64.8263,60.330
65.2961,61.042
65.7693,60.830
66.2459,61.218
66.7259,61.865
67.2094,62.426
67.6964,62.329
68.1870,61.810
68.6811,60.954
69.1788,60.995
69.6801,61.224
70.1850,60.393
70.6936,60.105
71.2059,59.605
71.7219,58.242
72.2416,58.887
72.7651,59.097
73.2924,58.591
73.8235,58.045
74.3585,57.779
74.8973,57.962
75.4400,58.761
75.9867,57.787
76.5373,56.952
77.0919,56.262
77.6506,55.728
78.2133,55.536
78.7800,56.686
79.3509,57.943
79.9259,58.531
80.5051,58.362
81.0885,57.973
81.6761,57.957
82.2679,58.161
82.8641,58.355
83.4645,58.526
84.0694,57.974
84.6786,58.098
85.2922,58.552
85.9102,59.044
86.5328,59.460
87.1598,59.724
87.7914,58.455
88.4276,58.132
89.0684,58.392
89.7138,58.636
90.3639,58.360
91.0187,57.859
91.6783,57.816
92.3426,57.041
93.0118,56.145
93.6858,55.242
94.3647,55.995
95.0485,55.206
95.7372,54.556
96.4310,53.098
97.1298,51.781
97.8336,51.298
98.5425,50.733
99.2566,49.397
99.9759,48.838
100.7003,48.404
101.4301,48.013
102.1651,48.740
102.9054,49.468
103.6511,49.453
104.4022,49.423
105.1587,49.356
105.9208,49.289
106.6883,49.486
107.4614,49.683
108.2401,49.471
109.0245,49.263
109.8145,49.742
110.6103,50.215
111.4118,50.344
112.2191,50.449
113.0323,49.501
113.8514,48.576
114.6764,48.408
115.5074,48.231
116.3444,47.818
117.1875,47.426
118.0367,47.538
118.8920,47.608
119.7536,46.872
120.6214,46.157
121.4954,45.787
122.3758,45.457
123.2626,45.719
124.1558,46.008
125.0555,46.652
125.9617,47.337
126.8745,48.517
127.7939,49.691
128.7199,50.799
129.6527,51.850
130.5922,52.332
131.5385,52.746
132.4917,52.517
133.4518,52.296
134.4188,52.140
135.3929,51.977
136.3740,51.750
137.3622,51.633
138.3576,52.354
139.3602,52.941
140.3701,52.590
141.3872,52.223
142.4118,51.755
143.4438,51.425
144.4832,51.953
145.5302,52.414
146.5848,52.474
147.6470,52.644
148.7169,53.428
149.7946,54.146
150.8800,54.512
151.9734,54.898
153.0746,55.387
154.1839,55.990
155.3012,57.145
156.4265,58.240
157.5601,59.056
158.7018,59.866
159.8518,60.647
161.0102,61.423
162.1769,62.182
163.3521,62.800
164.5359,62.853
165.7282,62.748
166.9291,62.036
168.1387,61.164
169.3571,59.698
170.5844,58.438
171.8205,57.906
173.0656,57.435
174.3197,57.171
175.5829,56.803
176.8552,56.092
178.1368,55.364
179.4276,54.580
180.7278,53.896
182.0375,53.518
183.3566,53.100
184.6853,52.569
186.0236,52.027
187.3716,51.453
188.7293,50.914
190.0969,50.468
191.4745,50.164
192.8620,50.235
194.2595,50.152
195.6672,49.671
197.0851,49.283
198.5133,49.120
199.9518,49.040
201.4007,49.153
202.8601,49.141
204.3301,48.840
205.8108,48.836
207.3022,49.500
208.8044,50.013
210.3175,50.200
211.8415,50.423
213.3766,50.722
214.9228,51.210
216.4802,52.083
218.0489,52.798
219.6290,53.202
221.2205,53.543
222.8236,53.765
224.4383,53.961
226.0646,54.111
227.7028,54.262
229.3528,54.416
231.0148,54.445
232.6888,54.258
234.3750,54.430
236.0734,55.212
237.7841,55.772
239.5071,55.967
241.2427,56.227
242.9909,56.592
244.7517,56.802
246.5252,56.770
248.3117,56.888
250.1110,57.234
251.9234,57.407
253.7490,57.324
255.5877,57.003
257.4398,56.341
259.3054,55.785
261.1844,55.375
263.0770,55.045
264.9834,54.824
266.9036,54.453
268.8377,53.885
270.7858,53.434
272.7480,53.132
274.7245,52.647
276.7152,51.937
278.7204,51.460
280.7401,51.267
282.7745,50.928
284.8236,50.418
286.8875,50.073
288.9665,49.918
291.0604,49.893
293.1696,50.013
295.2940,50.193
297.4338,50.437
299.5891,50.717
301.7601,51.035
303.9468,51.068
306.1493,50.809
308.3678,51.053
310.6023,51.799
312.8531,51.967
315.1202,51.573
317.4036,51.518
319.7037,51.785
322.0204,51.928
324.3539,51.956
326.7043,51.647
329.0717,51.038
331.4563,50.676
333.8582,50.528
336.2774,50.179
338.7143,49.658
341.1687,49.230
343.6410,48.878
346.1311,48.655
348.6393,48.535
351.1657,48.176
353.7104,47.630
356.2735,47.321
358.8552,47.191
361.4557,47.534
364.0749,48.224
366.7132,48.630
369.3705,48.831
372.0471,48.913
374.7431,48.910
377.4587,48.973
380.1939,49.081
382.9489,49.359
385.7239,49.750
388.5191,50.579
391.3344,51.687
394.1702,52.115
397.0265,52.121
399.9035,52.148
402.8014,52.186
405.7203,52.413
408.6603,52.749
411.6216,52.953
414.6044,53.080
417.6088,52.945
420.6349,52.665
423.6830,52.686
426.7532,52.870
429.8456,52.241
432.9605,51.190
436.0979,50.864
439.2580,50.906
442.4411,51.439
445.6472,52.212
448.8765,52.533
452.1293,52.640
455.4056,52.958
458.7057,53.373
462.0296,53.725
465.3777,54.048
468.7500,54.513
472.1468,55.038
475.5681,55.343
479.0143,55.556
482.4854,55.677
485.9817,55.760
489.5033,55.965
493.0505,56.216
496.6233,56.445
500.2221,56.666
503.8469,56.362
507.4980,55.866
511.1755,55.731
514.8797,55.722
518.6107,55.572
522.3688,55.376
526.1541,55.590
529.9668,55.939
533.8072,56.213
537.6754,56.463
541.5716,56.453
545.4960,56.364
549.4489,56.641
553.4304,57.025
557.4408,57.070
561.4803,57.021
565.5490,56.581
569.6472,56.036
573.7751,55.634
577.9329,55.269
582.1208,55.152
586.3391,55.098
590.5880,55.003
594.8676,54.898
599.1783,54.638
603.5202,54.343
607.8935,54.261
612.2986,54.224
616.7356,54.001
621.2047,53.740
625.7062,53.077
630.2403,52.335
634.8073,52.223
639.4074,52.229
644.0408,52.657
648.7078,53.159
653.4086,53.525
658.1434,53.868
662.9126,54.409
667.7163,54.981
672.5549,55.182
677.4285,55.327
682.3374,55.380
687.2819,55.419
692.2623,55.397
697.2787,55.367
702.3314,55.326
707.4208,55.283
712.5471,55.382
717.7105,55.498
722.9113,55.060
728.1498,54.563
733.4263,55.155
738.7410,55.854
744.0942,56.460
749.4863,57.059
754.9173,57.536
760.3878,58.004
765.8979,57.643
771.4479,57.221
777.0381,57.247
782.6688,57.303
788.3404,57.027
794.0530,56.731
799.8071,56.572
805.6028,56.419
811.4405,57.096
817.3206,57.809
823.2432,57.538
829.2088,57.233
835.2175,57.439
841.2699,57.661
847.3661,58.202
853.5064,58.750
859.6913,58.090
865.9210,57.414
872.1958,56.553
878.5161,55.691
884.8822,54.865
891.2944,54.035
897.7531,52.473
904.2586,50.916
910.8112,49.611
917.4113,48.339
924.0592,48.613
930.7554,48.915
937.5000,50.217
944.2935,51.487
951.1363,51.858
958.0286,52.221
964.9708,52.393
971.9634,52.511
979.0067,51.566
986.1010,50.622
993.2467,49.704
1000.4441,48.788
1007.6938,47.892
1014.9959,47.066
1022.3510,47.177
1029.7594,47.375
1037.2214,48.648
1044.7376,49.850
1052.3082,50.272
1059.9336,50.677
1067.6143,50.909
1075.3507,51.079
1083.1432,50.671
1090.9921,50.311
1098.8978,50.369
1106.8609,50.406
1114.8817,50.265
1122.9606,50.121
1131.0980,49.955
1139.2944,49.851
1147.5502,50.196
1155.8658,50.452
1164.2417,50.104
1172.6783,49.790
1181.1760,49.688
1189.7353,49.644
1198.3566,49.949
1207.0404,50.188
1215.7871,50.056
1224.5972,49.891
1233.4711,49.547
1242.4094,49.127
1251.4124,48.318
1260.4806,47.593
1269.6146,47.280
1278.8147,47.108
1288.0815,47.587
1297.4155,48.051
1306.8171,48.446
1316.2869,48.716
1325.8252,48.461
1335.4327,48.247
1345.1098,48.197
1354.8570,48.044
1364.6749,47.494
1374.5639,47.166
1384.5245,47.667
1394.5573,48.088
1404.6629,48.231
1414.8417,48.169
1425.0942,47.407
1435.4210,46.815
1445.8226,46.779
1456.2997,46.499
1466.8526,45.441
1477.4820,44.574
1488.1885,44.291
1498.9725,44.075
1509.8347,44.060
1520.7756,43.832
1531.7957,43.002
1542.8958,42.372
1554.0762,42.290
1565.3377,42.439
1576.6808,43.198
1588.1061,43.720
1599.6141,43.637
1611.2056,43.451
1622.8811,43.012
1634.6411,42.436
1646.4864,41.534
1658.4175,40.716
1670.4351,40.092
1682.5398,39.880
1694.7321,40.594
1707.0129,41.502
1719.3826,42.832
1731.8419,44.201
1744.3916,45.655
1757.0322,46.619
1769.7643,46.579
1782.5888,46.616
1795.5062,46.802
1808.5171,47.093
1821.6224,47.585
1834.8226,48.056
1848.1185,48.492
1861.5107,48.421
1875.0000,47.434
1888.5870,46.490
1902.2725,45.623
1916.0572,45.231
1929.9417,45.652
1943.9268,46.032
1958.0133,46.342
1972.2019,46.483
1986.4933,46.353
2000.8883,46.195
2015.3875,45.991
2029.9918,46.007
2044.7020,46.354
2059.5188,46.789
2074.4429,47.354
2089.4751,47.623
2104.6163,47.467
2119.8673,47.465
2135.2287,47.679
2150.7014,47.665
2166.2863,47.339
2181.9841,46.924
2197.7957,46.391
2213.7218,46.120
2229.7633,46.189
2245.9211,46.150
2262.1960,45.977
2278.5888,45.744
2295.1004,45.440
2311.7316,45.659
2328.4834,46.497
2345.3565,47.179
2362.3520,47.682
2379.4705,47.840
2396.7132,47.613
2414.0807,47.710
2431.5742,48.159
2449.1944,48.680
2466.9422,49.277
2484.8187,49.789
2502.8247,50.213
2520.9612,50.658
2539.2292,51.122
2557.6295,50.940
2576.1631,50.129
2594.8310,49.625
2613.6342,49.412
2632.5737,48.806
2651.6504,47.836
2670.8654,47.603
2690.2196,48.032
2709.7140,48.459
2729.3497,48.885
2749.1277,48.797
2769.0490,48.272
2789.1147,48.129
2809.3258,48.301
2829.6833,49.052
2850.1884,50.266
2870.8420,51.220
2891.6453,51.969
2912.5994,52.488
2933.7052,52.833
2954.9641,52.695
2976.3770,52.200
2997.9450,51.786
3019.6694,51.430
3041.5511,51.338
3063.5915,51.430
3085.7915,51.812
3108.1524,52.391
3130.6754,52.642
3153.3616,52.677
3176.2121,53.148
3199.2283,53.900
3222.4112,54.618
3245.7621,55.315
3269.2822,55.394
3292.9728,55.099
3316.8350,55.054
3340.8702,55.156
3365.0795,55.339
3389.4643,55.569
3414.0257,55.729
3438.7652,55.850
3463.6839,55.839
3488.7832,55.758
3514.0643,55.194
3539.5287,54.377
3565.1776,53.677
3591.0123,53.036
3617.0343,52.840
3643.2448,52.862
3669.6452,53.009
3696.2370,53.216
3723.0215,53.722
3750.0000,54.365
3777.1740,55.125
3804.5450,55.936
3832.1143,55.827
3859.8834,55.319
3887.8537,54.950
3916.0267,54.638
3944.4038,54.763
3972.9866,55.063
4001.7765,56.031
4030.7750,57.259
4059.9837,57.944
4089.4040,58.424
4119.0375,58.697
4148.8857,58.895
4178.9503,59.301
4209.2327,59.780
4239.7345,60.139
4270.4574,60.457
4301.4029,60.871
4332.5726,61.317
4363.9682,61.537
4395.5913,61.687
4427.4436,61.180
4459.5267,60.472
4491.8422,59.573
4524.3920,58.617
4557.1776,58.722
4590.2008,59.126
4623.4633,58.672
4656.9668,57.985
4690.7131,58.147
4724.7039,58.530
4758.9411,58.767
4793.4263,58.968
4828.1615,59.747
4863.1483,60.663
4898.3887,61.452
4933.8845,62.212
4969.6374,62.640
5005.6495,62.996
5041.9225,62.999
5078.4583,62.930
5115.2589,63.158
5152.3262,63.445
5189.6621,62.866
5227.2685,62.123
5265.1474,62.424
5303.3009,62.911
5341.7308,63.003
5380.4391,63.028
5419.4280,62.364
5458.6994,61.590
5498.2554,61.506
5538.0980,61.526
5578.2294,61.537
5618.6515,61.547
5659.3666,61.321
5700.3767,61.063
5741.6840,60.509
5783.2906,59.918
5825.1987,59.460
5867.4105,59.017
5909.9282,58.670
5952.7539,58.333
5995.8901,58.065
6039.3387,57.804
6083.1023,57.602
6127.1829,57.407
6171.5830,57.361
6216.3049,57.327
6261.3508,57.511
6306.7231,57.710
6352.4242,57.761
6398.4565,57.801
6444.8224,57.790
6491.5242,57.776
6538.5645,57.733
6585.9456,57.689
6633.6701,57.953
6681.7404,58.230
6730.1590,58.262
6778.9285,58.285
6828.0514,57.838
6877.5303,57.378
6927.3677,56.898
6977.5663,56.418
7028.1286,56.895
7079.0573,57.385
7130.3551,57.910
7182.0246,58.436
7234.0685,59.063
7286.4896,59.689
7339.2905,60.187
7392.4740,60.679
7446.0429,60.662
7500.0000,60.632
7554.3481,59.882
7609.0900,59.137
7664.2286,58.543
7719.7668,57.953
7775.7074,57.517
7832.0534,57.081
7888.8077,56.635
7945.9732,56.223
8003.5530,56.485
8061.5500,56.717
8119.9674,56.431
8178.8080,56.164
8238.0750,56.196
8297.7715,56.155
8357.9006,55.099
8418.4654,54.122
8479.4690,54.130
8540.9148,54.170
8602.8057,54.583
8665.1452,54.949
8727.9364,54.841
8791.1827,54.733
8854.8872,54.631
8919.0534,54.574
8983.6845,54.916
9048.7840,55.249
9114.3552,55.502
9180.4016,55.712
9246.9265,55.596
9313.9336,55.477
9381.4262,55.337
9449.4079,55.232
9517.8822,55.368
9586.8527,55.538
9656.3230,55.917
9726.2967,56.234
9796.7774,56.174
9867.7689,56.071
9939.2748,55.723
10011.2989,55.421
10083.8449,55.368
10156.9166,55.305
10230.5178,55.189
10304.6524,55.069
10379.3241,54.929
10454.5370,54.886
10530.2949,55.297
10606.6017,55.626
10683.4615,55.592
10760.8783,55.526
10838.8561,55.318
10917.3989,55.120
10996.5108,54.961
11076.1961,54.771
11156.4588,54.461
11237.3031,54.195
11318.7332,54.095
11400.7534,54.045
11483.3680,54.172
11566.5812,54.241
11650.3974,54.106
11734.8210,54.007
11819.8563,54.029
11905.5079,53.978
11991.7801,53.698
12078.6775,53.552
12166.2046,53.815
12254.3659,54.048
12343.1661,54.193
12432.6098,54.436
12522.7016,54.961
12613.4462,55.420
12704.8485,55.695
12796.9130,55.956
12889.6447,56.176
12983.0484,56.356
13077.1289,56.429
13171.8912,56.550
13267.3402,56.785
13363.4808,56.807
13460.3181,56.318
13557.8571,55.883
13656.1029,55.575
13755.0606,55.481
13854.7355,55.866
13955.1326,56.163
14056.2573,56.267
14158.1147,56.384
14260.7102,56.528
14364.0492,56.743
14468.1370,57.106
14572.9791,57.428
14678.5809,57.668
14784.9480,57.892
14892.0858,58.081
15000.0000,58.176
15108.6962,58.091
15218.1800,57.773
15328.4572,57.031
15439.5335,56.465
15551.4148,56.212
15664.1067,55.873
15777.6153,55.386
15891.9464,54.973
16007.1060,54.684
16123.1001,54.306
16239.9347,53.784
16357.6160,53.185
16476.1500,52.466
16595.5430,51.907
16715.8011,51.591
16836.9307,51.322
16958.9381,51.123
17081.8295,50.934
17205.6115,50.761
17330.2905,50.598
17455.8729,50.449
17582.3653,50.297
17709.7744,50.142
17838.1067,49.993
17967.3690,49.853
18097.5680,49.805
18228.7104,49.876
18360.8031,49.902
18493.8531,49.870
18627.8672,49.895
18762.8524,49.990
18898.8157,50.044
19035.7644,50.047
19173.7054,50.002
19312.6459,49.900
19452.5933,49.916
19593.5548,50.066
19735.5378,50.028
19878.5496,49.786
20022.5978,49.308
20167.6898,48.580
20313.8332,48.036
20461.0356,47.684
20609.3047,47.334
20758.6482,46.988
20909.0740,46.569
21060.5897,46.077
21213.2034,45.778
21366.9231,45.663
21521.7566,45.617
21677.7121,45.638
21834.7977,45.512
21993.0217,45.254
22152.3922,44.653
22312.9176,43.750
22474.6062,42.447
22637.4664,40.802
22801.5068,38.787
22966.7359,36.467
23133.1624,33.830
23300.7948,30.939
23469.6420,27.806
23639.7127,24.483
