freq_hz,spl_db
3.6621,47.730
3.6886,47.792
3.7154,47.854
3.7423,47.917
3.7694,47.979
3.7967,48.041
3.8242,48.104
3.8520,48.166
3.8799,48.229
3.9080,48.291
3.9363,48.353
3.9648,48.416
3.9936,48.478
4.0225,48.540
4.0516,48.603
4.0810,48.665
4.1106,48.727
4.1404,48.790
4.1704,48.852
4.2006,48.914
4.2310,48.977
4.2617,49.039
4.2926,49.101
4.3237,49.164
4.3550,49.226
4.3866,49.288
4.4184,49.382
4.4504,49.486
4.4826,49.590
4.5151,49.694
4.5478,49.798
4.5808,49.902
4.6140,50.007
4.6474,50.111
4.6811,50.215
4.7150,50.319
4.7492,50.423
4.7836,50.527
4.8182,50.631
4.8532,50.735
4.8883,50.839
4.9238,50.943
4.9594,51.048
4.9954,51.152
5.0316,51.256
5.0680,51.360
5.1048,51.464
5.1417,51.555
5.1790,51.627
5.2165,51.699
5.2543,51.770
5.2924,51.842
5.3308,51.914
5.3694,51.986
5.4083,52.057
5.4475,52.129
5.4870,52.201
5.5267,52.273
5.5668,52.345
5.6071,52.416
5.6477,52.488
5.6887,52.560
5.7299,52.632
5.7714,52.703
5.8132,52.775
5.8554,52.847
5.8978,52.926
5.9405,53.006
5.9836,53.087
6.0269,53.167
6.0706,53.247
6.1146,53.327
6.1589,53.407
6.2035,53.488
6.2485,53.568
6.2938,53.648
6.3394,53.728
6.3853,53.808
6.4316,53.888
6.4782,53.969
6.5251,54.049
6.5724,54.129
6.6200,54.193
6.6680,54.247
6.7163,54.300
6.7650,54.353
6.8140,54.406
6.8634,54.460
6.9131,54.513
6.9632,54.566
7.0137,54.619
7.0645,54.673
7.1157,54.726
7.1673,54.779
7.2192,54.833
7.2715,54.886
7.3242,54.939
7.3773,54.988
7.4308,55.037
7.4846,55.085
7.5388,55.134
7.5935,55.183
7.6485,55.232
7.7039,55.280
7.7597,55.329
7.8160,55.378
7.8726,55.426
7.9297,55.475
7.9871,55.524
8.0450,55.573
8.1033,55.629
8.1620,55.687
8.2212,55.745
8.2807,55.803
8.3407,55.861
8.4012,55.919
8.4621,55.977
8.5234,56.035
8.5851,56.093
8.6474,56.151
8.7100,56.209
8.7731,56.267
8.8367,56.265
8.9007,56.241
8.9652,56.218
9.0302,56.195
9.0956,56.172
9.1615,56.149
9.2279,56.125
9.2948,56.102
9.3622,56.079
9.4300,56.056
9.4983,56.033
9.5672,55.994
9.6365,55.949
9.7063,55.903
9.7767,55.857
9.8475,55.811
9.9189,55.765
9.9907,55.720
10.0631,55.674
10.1361,55.628
10.2095,55.582
10.2835,55.499
10.3580,55.358
10.4331,55.218
10.5087,55.078
10.5848,54.938
10.6615,54.798
10.7388,54.657
10.8166,54.517
10.8950,54.377
10.9739,54.237
11.0535,54.189
11.1335,54.157
11.2142,54.126
11.2955,54.095
11.3773,54.064
11.4598,54.033
11.5428,54.002
11.6265,53.971
11.7107,53.940
11.7956,53.897
11.8811,53.852
11.9672,53.808
12.0539,53.764
12.1412,53.719
12.2292,53.675
12.3178,53.631
12.4071,53.586
12.4970,53.547
12.5875,53.513
12.6788,53.478
12.7706,53.444
12.8632,53.409
12.9564,53.375
13.0503,53.340
13.1448,53.306
13.2401,53.540
13.3360,53.958
13.4327,54.377
13.5300,54.795
13.6281,55.214
13.7268,55.632
13.8263,56.051
13.9265,56.375
14.0274,55.885
14.1290,55.395
14.2314,54.905
14.3346,54.415
14.4384,53.925
14.5431,53.435
14.6484,52.945
14.7546,53.248
14.8615,53.550
14.9692,53.852
15.0777,54.154
15.1869,54.456
15.2970,54.758
15.4078,54.799
15.5195,54.027
15.6319,53.255
15.7452,52.482
15.8593,51.710
15.9742,50.938
16.0900,50.166
16.2066,49.957
16.3240,49.890
16.4423,49.822
16.5615,49.755
16.6815,49.688
16.8024,49.620
16.9241,49.489
17.0468,49.322
17.1703,49.155
17.2947,48.988
17.4200,48.821
17.5463,48.654
17.6734,48.749
17.8015,48.932
17.9305,49.115
18.0604,49.298
18.1913,49.481
18.3231,49.642
18.4559,49.594
18.5896,49.546
18.7243,49.498
18.8600,49.450
18.9967,49.402
19.1343,49.595
19.2730,49.911
19.4126,50.227
19.5533,50.543
19.6950,50.858
19.8377,50.805
19.9815,50.275
20.1263,49.744
20.2721,49.214
20.4190,48.683
20.5670,48.409
20.7160,48.522
20.8661,48.635
21.0173,48.747
21.1696,48.860
21.3230,48.852
21.4776,48.740
21.6332,48.629
21.7900,48.518
21.9479,48.406
22.1069,48.572
22.2671,48.790
22.4285,49.007
22.5910,49.224
22.7547,49.314
22.9196,49.108
23.0857,48.903
23.2529,48.697
23.4214,48.491
23.5912,48.755
23.7621,49.068
23.9343,49.381
24.1077,49.694
24.2824,50.002
24.4584,50.306
24.6356,50.610
24.8142,50.914
24.9940,51.360
25.1751,51.942
25.3575,52.524
25.5413,53.106
25.7264,53.527
25.9128,53.781
26.1005,54.035
26.2897,54.289
26.4802,54.441
26.6721,54.524
26.8654,54.606
27.0600,54.689
27.2561,56.313
27.4536,58.329
27.6526,60.345
27.8529,62.250
28.0548,63.204
28.2581,64.158
28.4628,65.111
28.6691,63.923
28.8769,60.647
29.0861,57.371
29.2969,54.096
29.5092,53.146
29.7230,52.197
